pair_id	parent_a	parent_b	label	group_id	fold
1810013L24Rik:Pmm2	1810013L24Rik	Pmm2	0	1810013L24Rik	1
4833420G17Rik:Zfp951	4833420G17Rik	Zfp951	0	4833420G17Rik	1
Abca1:Pgm1	Abca1	Pgm1	0	Abca1	4
Abca3:Nek2	Abca3	Nek2	0	Abca3	4
Abca3:Nup205	Abca3	Nup205	0	Abca3	4
Abcc5:Clic5	Abcc5	Clic5	0	Abcc5	2
Abcc5:Oas1a	Abcc5	Oas1a	1	Abcc5	2
Abl2:Soat1	Abl2	Soat1	0	Abl2	0
Abr:Pitpna	Abr	Pitpna	0	Abr	2
Acbd5:Eif6	Acbd5	Eif6	0	Acbd5	1
Acod1:Cd86	Acod1	Cd86	1	Acod1	1
Acod1:Gm34643	Acod1	Gm34643	0	Acod1	1
Acp2:Renbp	Acp2	Renbp	1	Acp2	3
Acsl4:Tmem164	Acsl4	Tmem164	1	Acsl4	0
Actr2:Nf1	Actr2	Nf1	0	Actr2	4
Actr3:Pla2g4a	Actr3	Pla2g4a	0	Actr3	2
Adam10:Mta3	Adam10	Mta3	0	Adam10	2
Adam8:Tyrobp	Adam8	Tyrobp	0	Adam8	2
Adgre1:Pals2	Adgre1	Pals2	0	Adgre1	3
Adprm:Emc2	Adprm	Emc2	0	Adprm	4
Aff4:Cdc42se2	Aff4	Cdc42se2	0	Aff4	4
Afg3l2:Cndp2	Afg3l2	Cndp2	0	Afg3l2	0
Agl:Brk1	Agl	Brk1	0	Agl	2
Ammecr1:Rab9	Ammecr1	Rab9	0	Ammecr1	1
Ampd3:Hapln3	Ampd3	Hapln3	0	Ampd3	1
Ankfy1:Ube2g1	Ankfy1	Ube2g1	0	Ankfy1	4
Ankrd33b:Chd4	Ankrd33b	Chd4	0	Ankrd33b	1
Aoah:Blcap	Aoah	Blcap	1	Aoah	1
Aoah:Sirt5	Aoah	Sirt5	1	Aoah	1
Aopep:Akr1e1	Aopep	Akr1e1	1	Akr1e1	2
Aopep:Sdha	Aopep	Sdha	0	Akr1e1	2
Ap5z1:Blvrb	Ap5z1	Blvrb	0	Ap5z1	1
App:Opa1	App	Opa1	0	App	3
Appbp2:Bcas3	Appbp2	Bcas3	0	Appbp2	4
Arhgap10:Mrps28	Arhgap10	Mrps28	0	Arhgap10	0
Arhgap30:Csnk1g3	Arhgap30	Csnk1g3	0	Arhgap30	2
Arid5b:Nampt	Arid5b	Nampt	0	Arid5b	3
Arl5b:4930455G09Rik	Arl5b	4930455G09Rik	0	4930455G09Rik	4
Arrb1:C2cd3	Arrb1	C2cd3	0	Arrb1	3
Arrb1:Cnot7	Arrb1	Cnot7	0	Arrb1	3
Ash2l:Hgsnat	Ash2l	Hgsnat	0	Ash2l	1
Asl:Cct6a	Asl	Cct6a	0	Asl	2
Asph:Rab2a	Asph	Rab2a	1	Asph	3
Atp1b3:Mthfs	Atp1b3	Mthfs	0	Atp1b3	1
Atp2b1:Hnrnpdl	Atp2b1	Hnrnpdl	0	Atp2b1	2
Atp2b1:Spata6	Atp2b1	Spata6	0	Atp2b1	2
Atp6v0a1:Akr1a1	Atp6v0a1	Akr1a1	1	Akr1a1	4
Atp8a1:Tmem33	Atp8a1	Tmem33	0	Atp8a1	3
Atxn7l1:Mir99ahg	Atxn7l1	Mir99ahg	0	Atxn7l1	3
B4galt5:Zfas1	B4galt5	Zfas1	0	B4galt5	4
Babam2:Mrpl33	Babam2	Mrpl33	0	Babam2	1
Bbx:Ntan1	Bbx	Ntan1	1	Bbx	2
Bin1:Ndufs8	Bin1	Ndufs8	0	Bin1	2
Birc6:Samhd1	Birc6	Samhd1	0	Birc6	1
Btaf1:Atp8b4	Btaf1	Atp8b4	0	Atp8b4	1
Cacna1d:Ninj1	Cacna1d	Ninj1	1	Cacna1d	4
Car5b:Gm20658	Car5b	Gm20658	0	Car5b	0
Ccdc97:Ddrgk1	Ccdc97	Ddrgk1	0	Ccdc97	0
Cd274:Lacc1	Cd274	Lacc1	1	Cd274	1
Cd36:Ppp1cb	Cd36	Ppp1cb	0	Cd36	1
Cd86:Atp5c1	Cd86	Atp5c1	0	Acod1	1
Cdk18:Spcs2	Cdk18	Spcs2	0	Cdk18	0
Chchd3:1810058I24Rik	Chchd3	1810058I24Rik	1	1810058I24Rik	0
Chd1:Ttc27	Chd1	Ttc27	1	Chd1	0
Cisd2:Ddrgk1	Cisd2	Ddrgk1	0	Ccdc97	0
Clcc1:Sars	Clcc1	Sars	1	Clcc1	2
Clcn7:Psmb9	Clcn7	Psmb9	0	Clcn7	0
Clic5:Tnip3	Clic5	Tnip3	0	Abcc5	2
Cltc:Cfl1	Cltc	Cfl1	0	Cfl1	1
Cog6:Dhx36	Cog6	Dhx36	0	Cog6	3
Copb2:Gch1	Copb2	Gch1	0	Copb2	0
Coro1b:Pitpnm1	Coro1b	Pitpnm1	0	Coro1b	0
Cpq:Mdfic	Cpq	Mdfic	0	Cpq	4
